fecha_lectura,nombre_parking,plazas_libres,capacidad_total,estado
2026-01-12 16:59:23,Pitot,403,590,Open
2026-01-12 16:59:23,Circe,974,1200,Open
2026-01-12 16:59:23,Garcia Lorca,343,400,Open
2026-01-12 16:59:23,Mosson,219,328,Open
2026-01-12 16:59:23,Sabines,131,285,Open
2026-01-12 16:59:23,Sablassou,258,379,Open
2026-01-12 16:59:23,Saint Jean Le Sec,213,285,Open
2026-01-12 16:59:23,Euromedecine,74,239,Open
2026-01-12 16:59:23,Occitanie,299,615,Open
2026-01-12 16:59:23,Vicarello,26,64,Open
2026-01-12 16:59:23,Gaumont EST,74,109,Open
2026-01-12 16:59:23,Gaumont OUEST,5,250,Open
2026-01-12 16:59:23,Charles de Gaulle,110,260,Open
2026-01-12 16:59:23,Polygone,1013,1911,Open
2026-01-12 16:59:23,Arc de Triomphe,96,440,Open
2026-01-12 16:59:23,Gaumont-Circe,199,500,Open
2026-01-12 17:45:14,Antigone,131,239,Open
2026-01-12 17:45:14,Comedie,390,664,Open
2026-01-12 17:45:14,Corum,271,480,Open
2026-01-12 17:45:14,Europa,455,591,Open
2026-01-12 17:45:14,Foch,549,620,Open
2026-01-12 17:45:14,Gambetta,187,452,Open
2026-01-12 17:45:14,Gare,312,656,Open
2026-01-12 17:45:14,Triangle,274,434,Open
2026-01-12 17:45:14,Pitot,403,590,Open
2026-01-12 17:45:14,Circe,1079,1200,Open
2026-01-12 17:45:14,Garcia Lorca,360,400,Open
2026-01-12 17:45:14,Mosson,267,328,Open
2026-01-12 17:45:14,Sabines,148,285,Open
2026-01-12 17:45:14,Sablassou,307,379,Open
2026-01-12 17:45:14,Saint Jean Le Sec,225,285,Open
2026-01-12 17:45:14,Euromedecine,86,239,Open
2026-01-12 17:45:14,Occitanie,403,615,Open
2026-01-12 17:45:14,Vicarello,34,64,Open
2026-01-12 17:45:14,Gaumont EST,74,109,Open
2026-01-12 17:45:14,Gaumont OUEST,5,250,Open
2026-01-12 17:45:14,Charles de Gaulle,119,260,Open
2026-01-12 17:45:14,Polygone,1013,1911,Open
2026-01-12 17:45:14,Arc de Triomphe,109,440,Open
2026-01-12 17:45:14,Gaumont-Circe,199,500,Open
2026-01-12 17:55:21,Antigone,130,239,Open
2026-01-12 17:55:21,Comedie,386,664,Open
2026-01-12 17:55:21,Corum,274,480,Open
2026-01-12 17:55:21,Europa,456,591,Open
2026-01-12 17:55:21,Foch,544,620,Open
2026-01-12 17:55:21,Gambetta,192,452,Open
2026-01-12 17:55:21,Gare,306,656,Open
2026-01-12 17:55:21,Triangle,274,434,Open
2026-01-12 17:55:21,Pitot,403,590,Open
2026-01-12 17:55:21,Circe,1095,1200,Open
2026-01-12 17:55:21,Garcia Lorca,365,400,Open
2026-01-12 17:55:21,Mosson,268,328,Open
2026-01-12 17:55:21,Sabines,152,285,Open
